order_id,customer_id,order_date,order_amount,status
,cus_69471,2026-07-23T20:58:09.255Z,277.83,shipped
,cus_37251,2026-07-16T05:54:33.372Z,929.78,completed
,cus_36199,2026-07-10T02:22:25.993Z,234.55,completed
,cus_26863,2026-07-09T16:17:49.853Z,305.92,shipped
,cus_80064,2026-07-12T23:33:48.262Z,832.60,completed
,cus_48964,2026-07-22T21:49:19.050Z,782.40,shipped
,cus_55774,2026-07-12T06:49:04.448Z,768.47,shipped
,cus_76027,2026-07-13T12:49:06.469Z,13.32,completed
,cus_41864,2026-07-15T22:11:26.356Z,540.87,pending
,cus_20278,2026-07-18T12:32:58.569Z,780.86,pending
,cus_85093,2026-07-09T16:48:15.618Z,557.92,pending
,cus_59771,2026-07-22T04:08:28.170Z,34.75,failed
,cus_95703,2026-07-11T21:07:24.864Z,989.02,shipped
,cus_59559,2026-07-11T16:23:08.600Z,86.71,completed
,cus_93423,2026-07-18T06:21:25.568Z,889.74,failed
,cus_87239,2026-07-11T04:06:04.338Z,566.81,completed
,cus_35945,2026-07-19T12:50:38.707Z,356.96,pending
,cus_53622,2026-07-24T02:14:27.236Z,788.11,shipped
,cus_67915,2026-07-09T18:45:09.192Z,894.22,pending
,cus_53902,2026-07-23T20:50:36.984Z,123.87,completed
,cus_30370,2026-07-20T22:29:14.059Z,625.13,shipped
,cus_20086,2026-07-11T08:23:42.598Z,126.30,shipped
,cus_27578,2026-07-13T18:38:32.786Z,742.52,pending
,cus_52899,2026-07-20T21:32:53.263Z,196.33,completed
,cus_88093,2026-07-23T07:03:03.178Z,837.76,failed
,cus_91610,2026-07-13T22:52:49.242Z,678.19,failed
,cus_10614,2026-07-15T00:19:21.873Z,242.83,completed
,cus_47043,2026-07-22T18:11:57.181Z,438.11,completed
,cus_79890,2026-07-22T16:02:12.556Z,296.22,pending
,cus_90133,2026-07-18T00:35:00.540Z,735.31,shipped
,cus_94583,2026-07-17T18:37:06.226Z,73.45,shipped
,cus_11260,2026-07-18T11:53:54.469Z,730.04,completed
,cus_87262,2026-07-12T05:00:21.577Z,975.78,pending
,cus_24181,2026-07-20T21:42:50.046Z,145.76,pending
,cus_23249,2026-07-15T16:39:15.707Z,205.49,pending
,cus_59763,2026-07-13T00:53:23.985Z,843.09,failed
,cus_63106,2026-07-20T18:24:19.852Z,951.74,failed
,cus_47303,2026-07-12T06:36:11.585Z,491.25,pending
,cus_37772,2026-07-19T23:02:19.554Z,835.69,completed
,cus_12050,2026-07-11T03:54:07.747Z,110.46,completed
,cus_66717,2026-07-19T04:10:23.955Z,785.57,pending
,cus_79136,2026-07-24T06:53:41.833Z,404.94,completed
,cus_72418,2026-07-13T03:02:17.060Z,41.41,failed
,cus_71501,2026-07-14T18:08:56.554Z,331.82,failed
,cus_66359,2026-07-21T12:53:03.534Z,299.27,failed
,cus_29005,2026-07-15T20:11:28.850Z,710.21,completed
,cus_52749,2026-07-18T03:06:39.491Z,184.76,pending
,cus_75254,2026-07-19T06:41:35.665Z,541.57,failed
,cus_20616,2026-07-24T07:52:44.153Z,12.52,pending
,cus_79218,2026-07-11T21:32:17.810Z,226.71,shipped
,cus_28438,2026-07-11T20:22:57.149Z,302.40,pending
,cus_31889,2026-07-15T17:41:30.600Z,687.44,shipped
,cus_70929,2026-07-14T14:10:02.770Z,858.74,failed
,cus_49120,2026-07-18T17:21:01.531Z,233.40,completed
,cus_33732,2026-07-19T00:36:32.177Z,292.67,pending
,cus_25678,2026-07-11T06:06:58.528Z,969.21,shipped
,cus_78780,2026-07-21T23:08:28.828Z,920.52,pending
,cus_55821,2026-07-22T14:38:21.723Z,112.95,shipped
,cus_58018,2026-07-12T07:25:03.352Z,456.13,failed
,cus_56473,2026-07-21T01:02:31.649Z,636.33,completed
,cus_23116,2026-07-10T13:26:11.437Z,840.27,shipped
,cus_80423,2026-07-16T17:05:59.919Z,340.01,shipped
,cus_26265,2026-07-23T14:59:51.821Z,786.14,pending
,cus_86866,2026-07-24T05:55:11.406Z,557.40,completed
,cus_79551,2026-07-15T12:11:12.319Z,878.62,shipped
,cus_34047,2026-07-23T16:05:52.804Z,632.96,pending
,cus_44015,2026-07-12T17:15:41.419Z,93.96,completed
,cus_64245,2026-07-15T08:36:29.941Z,348.34,pending
,cus_15813,2026-07-14T07:17:54.401Z,658.63,completed
,cus_38801,2026-07-20T22:02:16.151Z,623.05,shipped
,cus_57495,2026-07-21T14:39:00.205Z,414.92,failed
,cus_13608,2026-07-14T23:02:28.623Z,106.89,shipped
,cus_96810,2026-07-12T05:37:06.077Z,704.03,completed
,cus_69796,2026-07-21T00:28:29.461Z,769.47,failed
,cus_35866,2026-07-24T05:49:31.782Z,360.08,shipped
,cus_67312,2026-07-13T15:07:29.967Z,929.53,failed
,cus_24075,2026-07-20T23:28:29.846Z,680.52,pending
,cus_80701,2026-07-21T11:59:12.802Z,276.64,completed
,cus_80726,2026-07-21T11:50:38.113Z,929.91,failed
,cus_47469,2026-07-12T03:50:09.722Z,27.63,pending
,cus_25627,2026-07-23T11:12:46.200Z,408.85,pending
,cus_88840,2026-07-21T12:41:55.109Z,977.01,failed
,cus_13674,2026-07-17T05:54:54.155Z,511.26,failed
,cus_10779,2026-07-14T06:16:37.395Z,766.16,pending
,cus_52913,2026-07-17T20:28:38.972Z,78.93,pending
,cus_13783,2026-07-11T17:08:04.077Z,345.68,failed
,cus_17758,2026-07-16T07:05:28.917Z,405.80,pending
,cus_48203,2026-07-12T01:05:21.146Z,473.89,failed
,cus_37619,2026-07-12T06:21:44.707Z,99.11,pending
,cus_16000,2026-07-13T04:24:29.274Z,654.32,shipped
,cus_13348,2026-07-18T23:15:57.007Z,12.41,completed
,cus_99176,2026-07-12T16:16:06.225Z,418.71,failed
,cus_70581,2026-07-22T00:03:26.203Z,748.14,failed
,cus_99675,2026-07-14T07:24:55.892Z,25.96,completed
,cus_93813,2026-07-10T17:08:55.079Z,847.25,shipped
,cus_84883,2026-07-10T19:44:17.344Z,432.04,shipped
,cus_91394,2026-07-21T12:04:03.290Z,396.32,pending
,cus_63281,2026-07-13T05:15:05.793Z,455.93,completed
,cus_81949,2026-07-11T00:51:56.572Z,559.06,pending
,cus_25818,2026-07-13T18:19:34.839Z,786.33,failed
,cus_51442,2026-07-10T07:23:21.453Z,236.64,completed
,cus_69964,2026-07-24T08:26:21.818Z,19.05,failed
,cus_47433,2026-07-15T11:44:47.376Z,487.92,shipped
,cus_56347,2026-07-12T11:13:10.840Z,69.70,shipped
,cus_73005,2026-07-15T21:58:56.127Z,785.50,failed
,cus_87007,2026-07-23T04:54:10.132Z,638.62,failed
,cus_76366,2026-07-16T16:24:46.315Z,405.65,pending
,cus_36469,2026-07-19T05:13:39.067Z,17.17,failed
,cus_45037,2026-07-20T11:11:24.363Z,149.12,pending
,cus_67118,2026-07-21T22:54:55.138Z,729.00,shipped
,cus_26566,2026-07-12T19:22:55.472Z,474.32,completed
,cus_97164,2026-07-21T17:01:42.852Z,479.22,pending
,cus_87685,2026-07-19T16:59:11.948Z,520.02,pending
,cus_24943,2026-07-20T17:49:07.770Z,909.36,pending
,cus_58751,2026-07-18T15:02:29.696Z,513.52,pending
,cus_51413,2026-07-16T03:05:30.201Z,295.90,completed
,cus_18735,2026-07-12T22:54:41.809Z,848.70,shipped
,cus_57857,2026-07-22T22:33:02.387Z,964.08,shipped
,cus_32141,2026-07-11T16:39:12.907Z,117.10,failed
,cus_99678,2026-07-14T21:09:34.217Z,539.02,completed
,cus_60818,2026-07-23T11:40:14.008Z,807.79,pending
,cus_72497,2026-07-18T23:12:09.899Z,834.74,pending
,cus_88808,2026-07-16T06:41:17.747Z,933.73,pending
,cus_82530,2026-07-24T14:29:47.441Z,595.44,completed
,cus_59290,2026-07-12T06:34:53.978Z,178.97,shipped
,cus_97735,2026-07-18T07:11:06.622Z,21.28,completed
,cus_30249,2026-07-16T21:18:15.825Z,267.29,completed
,cus_34476,2026-07-24T08:07:17.195Z,367.44,failed
,cus_62483,2026-07-16T19:02:16.096Z,384.11,shipped
,cus_31591,2026-07-21T09:04:22.520Z,137.55,failed
,cus_24796,2026-07-22T10:58:28.644Z,820.44,pending
,cus_85423,2026-07-21T00:30:43.251Z,538.53,shipped
,cus_38055,2026-07-18T20:11:21.054Z,959.66,failed
,cus_35248,2026-07-12T06:07:48.244Z,733.75,pending
,cus_49161,2026-07-11T04:32:23.847Z,499.34,failed
,cus_95515,2026-07-16T03:33:48.367Z,227.56,pending
,cus_45943,2026-07-18T22:33:37.151Z,665.39,failed
,cus_24926,2026-07-17T19:59:55.330Z,148.84,completed
,cus_92872,2026-07-23T09:01:47.087Z,538.22,completed
,cus_60036,2026-07-11T01:05:29.031Z,639.06,pending
,cus_34045,2026-07-16T20:56:55.967Z,671.71,failed
,cus_14014,2026-07-18T09:32:58.143Z,162.40,shipped
,cus_46811,2026-07-22T17:00:13.056Z,26.31,failed
,cus_47112,2026-07-14T11:56:03.242Z,260.69,completed
,cus_37602,2026-07-11T02:11:54.409Z,339.00,pending
,cus_55350,2026-07-16T10:22:51.276Z,311.02,completed
,cus_65918,2026-07-21T15:22:52.594Z,588.00,pending
,cus_88027,2026-07-16T20:46:13.977Z,522.48,failed
,cus_74656,2026-07-24T15:07:20.958Z,885.53,pending
,cus_28590,2026-07-21T20:18:19.434Z,900.66,completed
,cus_56394,2026-07-11T10:52:34.528Z,161.66,completed
,cus_10431,2026-07-15T20:41:02.363Z,38.34,failed
,cus_20897,2026-07-14T15:05:23.147Z,551.50,completed
,cus_93791,2026-07-16T06:16:43.821Z,251.38,completed
,cus_41683,2026-07-12T10:21:09.444Z,365.48,pending
,cus_95392,2026-07-14T20:10:13.536Z,923.50,completed
,cus_97946,2026-07-19T04:21:19.224Z,556.36,failed
,cus_42733,2026-07-10T08:44:43.665Z,480.06,shipped
,cus_75303,2026-07-15T01:28:52.796Z,794.35,shipped
,cus_54946,2026-07-24T12:13:54.554Z,907.43,completed
,cus_23378,2026-07-14T20:05:46.313Z,1000.11,completed
,cus_75771,2026-07-22T02:38:06.494Z,74.51,pending
,cus_75577,2026-07-14T02:26:35.696Z,791.65,completed
,cus_36111,2026-07-24T03:33:55.361Z,631.21,failed
,cus_20856,2026-07-21T02:20:52.560Z,368.94,pending
,cus_78439,2026-07-10T03:24:04.478Z,123.97,pending
,cus_86037,2026-07-19T03:13:29.301Z,884.29,pending
,cus_19937,2026-07-17T04:58:48.909Z,927.58,completed
,cus_21512,2026-07-10T10:32:40.002Z,908.53,completed
,cus_59600,2026-07-23T03:37:37.403Z,626.64,completed
,cus_26794,2026-07-20T11:05:12.546Z,25.94,completed
,cus_76362,2026-07-13T08:05:33.682Z,810.71,completed
,cus_41944,2026-07-14T06:32:07.971Z,852.80,completed
,cus_89569,2026-07-09T15:38:47.985Z,850.92,failed
,cus_36455,2026-07-16T23:50:27.612Z,329.36,failed
,cus_24962,2026-07-10T19:43:10.859Z,458.95,failed
,cus_32006,2026-07-14T18:04:13.079Z,353.89,completed
,cus_76490,2026-07-20T02:35:10.511Z,177.13,completed
,cus_79481,2026-07-11T20:02:23.809Z,273.66,completed
,cus_69666,2026-07-13T06:39:01.224Z,267.23,shipped
,cus_19991,2026-07-22T08:04:38.456Z,991.67,pending
,cus_77226,2026-07-13T09:51:56.649Z,387.41,pending
,cus_59955,2026-07-13T01:40:25.533Z,1004.90,failed
,cus_43989,2026-07-18T07:00:59.420Z,465.93,failed
,cus_80082,2026-07-10T06:20:23.041Z,85.43,failed
,cus_48451,2026-07-20T07:52:36.421Z,642.03,failed
,cus_52719,2026-07-14T19:17:59.713Z,623.99,pending
,cus_98175,2026-07-16T11:41:28.822Z,26.09,shipped
,cus_66022,2026-07-22T01:47:30.225Z,852.80,failed
,cus_99960,2026-07-23T17:30:46.105Z,870.20,pending
,cus_92796,2026-07-22T10:24:09.672Z,997.31,shipped
,cus_24702,2026-07-20T09:28:26.405Z,503.44,completed
,cus_44098,2026-07-09T23:08:43.398Z,818.11,shipped
,cus_85016,2026-07-22T13:34:37.751Z,327.02,pending
,cus_23160,2026-07-14T19:44:08.379Z,28.56,failed
,cus_71099,2026-07-12T22:12:48.159Z,775.36,completed
,cus_32091,2026-07-20T00:12:53.651Z,575.51,shipped
,cus_88915,2026-07-17T17:43:01.526Z,670.37,completed
,cus_53838,2026-07-17T15:10:10.868Z,517.07,failed
,cus_33244,2026-07-12T11:33:43.492Z,304.52,pending
,cus_66822,2026-07-15T08:19:24.229Z,540.86,pending
,cus_62696,2026-07-16T16:38:00.462Z,358.27,failed
,cus_29554,2026-07-20T15:32:05.432Z,776.86,completed
,cus_97945,2026-07-14T13:44:22.526Z,967.25,completed
,cus_39097,2026-07-17T22:18:48.624Z,207.16,failed
,cus_61772,2026-07-10T01:24:25.179Z,858.72,completed
,cus_48280,2026-07-14T18:42:17.234Z,991.46,pending
,cus_72759,2026-07-16T03:59:29.396Z,349.32,completed
,cus_12256,2026-07-20T19:42:31.649Z,641.19,pending
,cus_82748,2026-07-14T06:40:01.134Z,872.97,completed
,cus_52898,2026-07-19T18:22:12.965Z,248.55,pending
,cus_76109,2026-07-15T00:44:46.858Z,119.42,shipped
,cus_67840,2026-07-18T00:39:51.390Z,755.99,failed
,cus_28172,2026-07-10T04:31:42.299Z,684.87,shipped
,cus_71641,2026-07-12T12:18:14.331Z,847.18,failed
,cus_39540,2026-07-15T21:46:37.566Z,16.57,pending
,cus_92421,2026-07-20T14:49:06.746Z,655.65,completed
